"h_angle","c_value","size"
1,10,NA
2,10,NA
3,10,NA
4,10,NA
5,10,NA
6,10,NA
7,10,NA
8,10,NA
9,10,NA
10,10,NA
11,10,NA
12,10,NA
13,10,NA
14,10,NA
15,10,NA
16,10,NA
17,10,NA
18,10,NA
19,10,NA
20,10,NA
21,10,NA
22,10,NA
23,10,NA
24,10,NA
25,10,NA
26,10,NA
27,10,NA
28,10,NA
29,10,NA
30,10,NA
31,10,NA
32,10,NA
33,10,NA
34,10,NA
35,10,NA
36,10,NA
37,10,NA
38,10,NA
39,10,NA
40,10,NA
41,10,NA
42,10,NA
43,10,NA
44,10,NA
45,10,NA
46,10,NA
47,10,NA
48,10,NA
49,10,NA
50,10,NA
51,10,NA
52,10,NA
53,10,NA
54,10,NA
55,10,NA
56,10,NA
57,10,NA
58,10,NA
59,10,NA
