"h_angle","c_value","size"
1,21,23
2,21,23
3,21,24
4,21,24
5,21,24
6,21,24
7,21,24
8,21,24
9,21,24
10,21,24
11,21,24
12,21,24
13,21,24
14,21,25
15,21,25
16,21,25
17,21,25
18,21,25
19,21,25
20,21,25
21,21,25
22,21,25
23,21,25
24,21,25
25,21,25
26,21,25
27,21,25
28,21,25
29,21,25
30,21,25
31,21,24
32,21,24
33,21,24
34,21,24
35,21,24
36,21,24
37,21,24
38,21,24
39,21,24
40,21,24
41,21,24
42,21,23
43,21,23
44,21,23
45,21,23
46,21,23
47,21,23
48,21,23
49,21,23
50,21,23
51,21,23
52,21,23
53,21,23
54,21,23
55,21,23
56,21,23
57,21,23
58,21,23
59,21,23
